# Field        ID                       RA                 DEC                 FWHM               ISOarea KRON_RADIUS        nDet_magPStotal PhotoFlagDet U_PStotal          F378_PStotal       F395_PStotal       F410_PStotal       F430_PStotal       G_PStotal          F515_PStotal       R_PStotal          F660_PStotal       I_PStotal          F861_PStotal       Z_PStotal          e_U_PStotal           e_F378_PStotal       e_F395_PStotal       e_F410_PStotal        e_F430_PStotal        e_G_PStotal           e_F515_PStotal        e_R_PStotal           e_F660_PStotal        e_I_PStotal           e_F861_PStotal        e_Z_PStotal           r_-_i                r_-_Halpha          e(r_-_i)              e(r_-_Halpha)         main_id                       ra_x           dec_x          coo_err_maj coo_err_min coo_err_angle nbref ra_sexa        dec_sexa       main_type       other_types                                         radvel      redshift sp_type morph_type plx    pmra    pmdec  size_maj size_min size_angle B      V     R_x    J      H      K      u g      r_xa   i      z      angDist 
  HYDRA-0011   iDR3.HYDRA-0011.001501   151.2280626502269  -24.565882636830892 2.259583           346     2.6723015          12.0            0            18.455282          17.88467           17.305760999999997 16.622417000000002 16.37087           16.07067           15.601785999999999 15.159845          14.770198          14.729367000000002 14.376079999999998 14.490635999999999 0.023547707           0.025093602000000003 0.025260603          0.014125091999999999  0.012089078           0.0043184140000000005 0.00664856            0.0024819295          0.0031623933          0.002125014           0.0039154454          0.0023510829          0.43047799999999903  0.3896470000000001  0.0032673626280482326 0.0040200379882353275 "CRTS J100454.6-243358"       151.2278333333 -24.5661111111 ""          ""          172.0         1     "10 04 54.68   " "-24 33 58.0   " EB*             EB*                                                 ""          ""       ""      ""         ""     ""      ""     ""       ""       ""         ""     15.14 ""     ""     ""     ""     "" ""     ""     ""     ""     1.113662
  HYDRA-0013   iDR3.HYDRA-0013.019646   154.12515159910782 -24.234446798165308 1.7735525          97      3.086459           12.0            0            18.373222          17.703945          17.345132999999997 17.17694           17.094503          16.892857          16.795143          16.594276          16.375866000000002 16.477564          16.264523999999998 16.39563           0.021053351           0.021295997999999997 0.025392232          0.020765191000000002  0.018003026000000002  0.006603156999999999  0.012231105           0.0051627676          0.0055888016          0.0053389003          0.00904232            0.0073482436          0.1167119999999997   0.21840999999999866 0.007426844936105092  0.007608473737601538  "CRTS J101629.9-241406"       154.1251217426 -24.2344349835 0.0         0.0         90.0          3     "10 16 30.02922" "-24 14 03.9659" RRLyr           "RR*|*  |RR?|RR*|RR?"                               ""          ""       ""      ""         0.0908 -1.3    -1.65  ""       ""       ""         ""     16.54 ""     ""     ""     ""     "" 16.934 16.611 16.587 16.407 0.106842
  HYDRA-0014   iDR3.HYDRA-0014.060867   156.13095311674533 -23.552663995169148 10.048003999999999 6779    3.6523256          12.0            2            18.902206          18.292492000000003 18.02199           17.835570999999998 17.540573000000002 17.039260000000002 16.714182          15.943798000000001 15.193451999999999 15.442704          15.110384          14.953273999999999 0.028425904           0.029203313999999998 0.037380147999999995 0.029499462           0.024294503           0.007659730500000001  0.012459728           0.003805036           0.0030739153999999997 0.0030983078999999997 0.0045968257          0.0030744046000000004 0.5010940000000002   0.7503460000000022  0.004906914591115114  0.004891549329982594  "ESO 500-34"                  156.1310583333 -23.5529361111 ""          ""          172.0         60    "10 24 31.454  " "-23 33 10.57  " Seyfert_2       "X  |G  |Rad|Sy2|PaG|AGN|IR |G  |GiG"               3670.3971   0.012319 ""      Sa         ""     ""      ""     0.75     0.45     155        14.45  14.21 12.89  11.12  10.287 9.932  "" ""     ""     ""     ""     1.039334
  HYDRA-0015   iDR3.HYDRA-0015.020654   156.73449379411653 -24.089230021381578 6.8882270000000005 4542    3.7959964          12.0            2            17.31129           16.821543          16.588554000000002 16.300933999999998 16.083637          15.792891000000001 15.583478          15.136265          14.742420999999998 14.807417000000001 14.643379000000001 14.507448000000002 0.013603493999999999  0.015198372          0.018270223999999998 0.013658321000000001  0.011601133000000001  0.0043514035999999996 0.0075829113          0.0028010989          0.002928939           0.0025139273999999997 0.004587305           0.0029762240000000004 0.3288479999999989   0.3938440000000014  0.003763772843843258  0.004052756927488029  "ESO 500-41"                  156.7344819421 -24.0892121735 0.001       0.001       90.0          29    "10 26 56.27567" "-24 05 21.1638" EmG             "EmG|*  |G  |Rad|IR |G  |GiG"                       3530.0121   0.011845 ""      S0:r       ""     ""      ""     0.603    0.471    120        14.22  ""    12.95  11.351 10.7   10.447 "" ""     ""     ""     ""     0.075137
  HYDRA-0015   iDR3.HYDRA-0015.044871   156.9787260191119  -23.20088114343781  3.0699509999999997 85      3.3578186000000003 12.0            0            18.155619          18.024967          18.140182          18.206223          17.93872           17.998262          17.935454999999997 17.787691          17.599392          17.75287           16.448654          17.334284          0.022720361           0.031287596          0.04732638           0.048612385999999994  0.038024705           0.016569199           0.031961255           0.0130475145          0.015082799           0.015674371           0.014642596           0.02088382            0.034820999999997326 0.1882989999999971  0.020394203609686534  0.019943130654491315  "QSO B1025-229"               156.9786814833 -23.200846309  0.0         0.0         90.0          29    "10 27 54.88356" "-23 12 03.0467" QSO             "*  |QSO|AGN|X  |G  |Rad|IR"                        78827.2417  0.309    ""      ""         ""     0.77    -0.08  ""       ""       ""         ""     17.5  ""     16.211 15.222 14.404 "" ""     ""     ""     ""     0.193499
  HYDRA-0017   iDR3.HYDRA-0017.000100   159.7456097449217  -24.61822082802332  6.4657593          399     2.8504642999999996 12.0            0            19.393787          18.066679999999998 18.889587          17.827552999999998 17.42585           14.969037          16.687262          13.867701          13.455017000000002 14.250694000000001 12.990806          13.111298999999999 0.05769594            0.033099893          0.09335109           0.040311623           0.02903483            0.003157956           0.01545036            0.0017410432000000001 0.0017861181          0.00223182            0.002152438           0.0015608366000000001 -0.3829930000000008  0.4126839999999987  0.002830592153007254  0.0024942833222017604 "LP  848-78"                  159.7464526711 -24.6184142125 0.0         0.0         90.0          2     "10 38 59.14864" "-24 37 06.2912" PM*             PM*|*                                               ""          ""       ""      ""         6.6682 -152.46 -37.38 ""       ""       ""         ""     ""    ""     ""     ""     ""     "" ""     ""     ""     ""     2.845193
  HYDRA-0017   iDR3.HYDRA-0017.001506   159.34888744029934 -24.579709500504517 19.58977           412     4.4933515          12.0            2            20.168205          19.662666          19.360607          19.503265          19.103507999999998 19.120533          19.119954999999997 18.762856          18.477053          18.689854          18.418236          18.636307000000002 0.108848214           0.10968989           0.13612729999999998  0.15313733            0.103629865           0.039925065           0.088705495           0.03217489            0.03162198            0.043485705           0.07763260599999999   0.07466673            0.0730019999999989   0.2858029999999978  0.05409464008438474   0.04511289356306576   "LEDA  788456"                159.3491666667 -24.5794444444 ""          ""          172.0         1     "10 37 23.8    " "-24 34 46     " Galaxy          G                                                   ""          ""       ""      ""         ""     ""      ""     0.35     0.28     14         ""     ""    ""     ""     ""     ""     "" ""     ""     ""     ""     1.321412
  HYDRA-0017   iDR3.HYDRA-0017.025171   160.0374097447351  -23.820434361255522 28.688978000000002 5869    4.1812034          12.0            2            18.908688          18.474083          18.278427          17.976429          17.660618          17.327732          17.091194          16.557732          16.280876          16.223356          16.013271          15.959957000000001 0.042153344           0.046508223          0.062314324000000004 0.045276835999999994  0.034330845           0.011196665500000001  0.019925316999999998  0.007060617700000001  0.0074753445          0.0066876290000000005 0.011558297           0.0082269795          0.33437600000000245  0.2768560000000022  0.009725055472705248  0.010282660049774744  "NGC  3331"                   160.0371875    -23.82035      ""          ""          172.0         25    "10 40 08.925  " "-23 49 13.26  " EmG             "EmG|G  |Rad|IR |G  |GiG"                           3619.0      0.012145 ""      Sab        ""     ""      ""     0.653    0.497    15         13.94  ""    12.94  11.379 10.803 10.533 "" ""     ""     ""     ""     0.792434
  HYDRA-0017   iDR3.HYDRA-0017.026406   159.85836435775968 -23.75467363684896  53.678272          3152    3.8915045          12.0            2            19.004421          18.47065           18.343613          18.153435          18.020306          17.927391          17.69523           17.348858          16.822653          17.09795           16.866219          16.784845          0.044919747999999995  0.045986254000000004 0.0648008            0.05130542            0.044059100000000004  0.016388398000000002  0.029546787999999997  0.011514459           0.010212534           0.012070428999999999  0.021336817999999997  0.015276955           0.250907999999999    0.5262050000000009  0.016681667252008175  0.015390861469191287  MCG-04-25-054                 159.8588708333 -23.7549111111 ""          ""          172.0         30    "10 39 26.129  " "-23 45 17.68  " EmG             "EmG|G  |Rad|IR |G"                                 3946.8237   0.013253 ""      Sb:        ""     ""      ""     0.8      0.192    110        14.77  ""    13.85  12.258 11.793 11.413 "" ""     ""     ""     ""     1.875069
  HYDRA-0021   iDR3.HYDRA-0021.028479   151.1347043135549  -25.507009627076613 1.7355436999999998 113     2.994322           12.0            0            18.285818          17.775651999999997 17.546967000000002 17.206388          17.097935          17.049034          16.682178          16.616595999999998 16.376198000000002 16.469735999999997 16.240685          16.399155          0.02394933            0.022358406          0.029682412999999998 0.019469276           0.01705904            0.006603345300000001  0.011644138           0.005077652           0.0052659465          0.005159737           0.00800344            0.0068703372999999995 0.1468600000000002   0.24039799999999545 0.007239159878209142  0.007315240418056419  "CRTS J100432.3-253025"       151.1347083333 -25.5069722222 ""          ""          172.0         1     "10 04 32.33   " "-25 30 25.1   " EB*             EB*                                                 ""          ""       ""      ""         ""     ""      ""     ""       ""       ""         ""     16.59 ""     ""     ""     ""     "" ""     ""     ""     ""     0.135289
  HYDRA-0021   iDR3.HYDRA-0021.050324   151.1942331966039  -25.132003432206613 1.7619171000000002 66      3.3042860000000003 12.0            0            18.639034          18.569423999999998 18.484683999999998 17.4968            17.42089           17.816505          18.009570999999998 17.807238          17.536156          17.592351999999998 17.406852999999998 17.320368          0.030881277999999998  0.039141756          0.059606727000000005 0.023599677000000003  0.020999657           0.010057237           0.02657361            0.009740486999999999  0.00983676            0.01008649            0.016543086999999998  0.012934033999999999  0.21488600000000346  0.2710820000000034  0.014021924529723763  0.013843371493056486  "QSO B1002-249"               151.194187853  -25.1319807278 0.0         0.0         90.0          12    "10 04 46.60508" "-25 07 55.1306" QSO             "QSO|*  |QSO|IR"                                    252997.2994 2.437    ""      ""         0.2204 -1.02   -0.02  ""       ""       ""         17.9   17.7  ""     16.435 15.835 14.759 "" ""     ""     ""     ""     0.168881
  HYDRA-0024   iDR3.HYDRA-0024.029792   155.52593236222282 -25.366431473843154 2.0991516          67      3.5845363          12.0            0            19.205423          18.49456           18.218534          17.959393          17.864214          17.668568          17.548048          17.348461          17.091549          17.222828          16.968216          17.1586            0.038707357000000005  0.03695216           0.044524115          0.031935204           0.028563315           0.010519158           0.01920131            0.008200736           0.008115457           0.008873454           0.015293895           0.013864282           0.12563300000000055  0.2569119999999998  0.012082642791699669  0.011537448299366069  "CRTS J102206.2-252159"       155.5258920801 -25.366410615  0.0         0.0         90.0          3     "10 22 06.21410" "-25 21 59.0782" RRLyr           "RR*|*  |RR?|RR*|RR?"                               ""          ""       ""      ""         ""     -0.77   -2.02  ""       ""       ""         ""     17.36 ""     ""     ""     ""     "" 17.719 17.159 17.385 17.091 0.151025
  HYDRA-0025   iDR3.HYDRA-0025.027826   157.3451259715575  -25.42525543292706  11.611706          615     4.1542262999999995 12.0            2            19.579662          18.99399           18.868233          18.807869          18.67829           18.557476          18.38348           18.184279999999998 17.913807000000002 18.025728          17.964878          17.853645          0.042098752999999996  0.047176465          0.06655463           0.054055307000000004  0.04922975            0.017222196000000002  0.032030746           0.012509646999999999  0.012129573999999999  0.012537346000000001  0.02273584            0.017028296000000002  0.1585519999999967   0.2704729999999955  0.017710909428607133  0.017424632951258543  "LEDA  779141"                157.345        -25.4252777778 ""          ""          172.0         1     "10 29 22.8    " "-25 25 31     " Galaxy          G                                                   ""          ""       ""      ""         ""     ""      ""     0.37     0.24     172        ""     ""    ""     ""     ""     ""     "" ""     ""     ""     ""     0.417399
  HYDRA-0026   iDR3.HYDRA-0026.015032   159.47708863578262 -25.706843188332943 1.8367738999999998 135     2.9892368          12.0            0            18.113854999999997 17.339185999999998 16.827187          16.446516          16.21825           16.014961          15.948220999999998 15.871711          15.718169          15.843901999999998 15.677164000000001 15.817113          0.019531934           0.017914323          0.019346658          0.015315783999999999  0.012327185           0.0048449584          0.008950298           0.0039353613          0.0042268015          0.004100338           0.006624031999999999  0.005401665999999999  0.027809000000001305 0.15354199999999985 0.005683294843291318  0.005775198653028305  "CRTS J103754.6-254223"       159.4770316075 -25.7068225059 0.0         0.0         90.0          3     "10 37 54.48759" "-25 42 24.5610" RRLyr           "RR*|*  |RR?|RR*|RR?"                               ""          ""       ""      ""         0.1071 0.37    -1.77  ""       ""       ""         ""     16.23 ""     ""     ""     ""     "" 16.398 16.43  16.31  16.316 0.199405
  HYDRA-0026   iDR3.HYDRA-0026.020458   159.67291882499615 -25.59228621270723  13.133806          200     5.7970166          12.0            2            18.248241          17.86905           17.858814000000002 17.889656          17.938685999999997 17.805916          17.148912          17.835484          16.986862          17.945396          17.95908           17.823002          0.021268863           0.024936508          0.03734358           0.040577132           0.038594168           0.015313638999999999  0.0187923             0.013867588           0.009035675           0.017323798           0.033935513           0.023736764           -0.10991199999999779 0.8486220000000024  0.022190628068681335  0.016551538286315535  "WPVS  78"                    159.6725       -25.5925       5.0         5.0         90.0          2     "10 38 41.4    " "-25 35 33     " EmG             GiC|EmG                                             3000.0      0.010057 ""      ""         ""     ""      ""     ""       ""       ""         ""     ""    ""     ""     ""     ""     "" ""     ""     ""     ""     1.562533
  HYDRA-0031   iDR3.HYDRA-0031.028457   151.59250580663203 -26.832557861011033 15.557032000000001 673     3.9627507000000004 12.0            2            18.837626          18.507235          18.44771           18.489653          18.297676          18.214836          17.753954          17.856052          17.49382           17.76484           17.64051           17.598663000000002 0.037129167000000005  0.038867917          0.05689102           0.045958634000000005  0.037304606000000004  0.0132054435          0.025158212000000003  0.010776443           0.0103532355          0.012136025           0.025061607000000003  0.019126512           0.09121199999999874  0.3622319999999988  0.01623005935087343   0.014943935527521164  "6dFGS gJ100622.2-264958"     151.5922833333 -26.8321888889 ""          ""          172.0         1     "10 06 22.148  " "-26 49 55.88  " Galaxy          G                                                   4537.1412   0.015251 ""      ""         ""     ""      ""     0.233    0.14     165        16.46  ""    15.56  14.548 14.13  14.016 "" ""     ""     ""     ""     1.508355
  HYDRA-0035   iDR3.HYDRA-0035.011708   157.10398716245197 -27.180304744569305 2.207565           56      3.3661267999999995 12.0            0            20.006752          19.399275          18.783978          18.095604          18.035091          17.984524          17.19524           17.156023          16.565279999999998 16.779284          16.214596          16.552723          0.10236371            0.09493262           0.088244185          0.046145592           0.04123303            0.016118258           0.018183898           0.007919897           0.006448264           0.006668426           0.008771542           0.007836471           0.3767390000000006   0.5907430000000033  0.010353389484032995  0.010212975918130083  "CRTS J102824.9-271048"       157.1039583333 -27.18025      ""          ""          172.0         1     "10 28 24.95   " "-27 10 48.9   " EB*             EB*                                                 ""          ""       ""      ""         ""     ""      ""     ""       ""       ""         ""     16.87 ""     ""     ""     ""     "" ""     ""     ""     ""     0.217634
  HYDRA-0035   iDR3.HYDRA-0035.038027   157.9113435119524  -26.63378202454385  1.9328808999999998 34      3.6951754          12.0            0            19.681444          19.189837          18.941212          18.399681          18.3429            18.20819           17.84941           17.668957000000002 17.446312          17.456942          17.257671          17.367626          0.08391626            0.08620447           0.109276704          0.058510162000000004  0.052301127           0.018952448           0.028957372999999998  0.011363238999999999  0.011382071           0.010328914           0.01762007            0.013865925           0.21201500000000095  0.22264500000000353 0.015356095369283071  0.016083368453783616  "CRTS J103138.6-263802"       157.9110416667 -26.6339444444 ""          ""          172.0         1     "10 31 38.65   " "-26 38 02.2   " EB*             EB*                                                 ""          ""       ""      ""         ""     ""      ""     ""       ""       ""         ""     17.62 ""     ""     ""     ""     "" ""     ""     ""     ""     1.133749
  HYDRA-0035   iDR3.HYDRA-0035.047070   158.59916579486548 -26.49149057090181  6.860773           2224    3.7555358          12.0            0            18.051056          17.55968           17.303822          17.134777          16.925704999999997 16.509552          16.26662           15.670658          15.214592999999999 15.225252          14.984678          14.874157          0.021214005           0.022599222000000002 0.028381472          0.021825743999999998  0.01782075            0.005831635           0.009804293           0.003271118           0.0030524271999999996 0.0027201404          0.004293661           0.0028823103999999996 0.4454060000000002   0.4560650000000006  0.004254336230910312  0.0044740948560824945 "ESO 501-17"                  158.5991666667 -26.4913305556 ""          ""          172.0         22    "10 34 23.800  " "-26 29 28.79  " GinGroup        "G  |GiC|IR |G  |GiG|GiG"                           4429.0      0.014884 ""      S0         ""     ""      ""     0.6      0.228    15         15.02  14.18 13.72  11.932 11.173 10.895 "" ""     ""     ""     ""     0.576062
  HYDRA-0035   iDR3.HYDRA-0035.052219   157.02147993487316 -26.34102919520565  2.5791527999999997 354     2.6725333          12.0            0            16.569206          15.475837          15.01179           14.726359          14.640006          14.978069          14.415065          14.669154999999998 14.403398999999999 14.550978          14.304682000000001 14.528259          0.0078763645          0.0062959394         0.007067502          0.005371831           0.0048918067          0.0025870446          0.0037226840000000004 0.0020014378          0.0020805756          0.0019756404          0.0030676759999999996 0.0024384372          0.11817699999999753  0.26575599999999966 0.0028122781258938453 0.0028869617411015685 "CRTS J102805.2-262029"       157.0214819184 -26.3410173078 0.0         0.0         90.0          3     "10 28 05.15566" "-26 20 27.6623" RRLyr           "RR*|*  |RR?|RR*|RR?"                               ""          ""       ""      ""         0.0611 -5.4    -3.65  ""       ""       ""         ""     14.72 ""     ""     ""     ""     "" 15.135 14.94  14.434 14.708 0.043271
  HYDRA-0036   iDR3.HYDRA-0036.007164   159.8108380751079  -27.251456538203072 27.259096000000003 427     4.2809577          12.0            0            20.286222          19.69785           19.367404999999998 19.387468          19.138939          19.12056           19.013227          18.754837          18.428427          18.552675          18.357979          18.365038000000002 0.14051856            0.14210774           0.17002910000000002  0.16574956            0.12996809            0.037788622           0.09143339            0.024590302           0.02830711            0.026943037000000003  0.06289093            0.042316053           0.20216199999999773  0.3264099999999992  0.03647753000457368   0.037496338874659536  "LEDA  757698"                159.8108333333 -27.2513888889 ""          ""          172.0         4     "10 39 14.6    " "-27 15 05     " GinCl           "G  |GiC"                                           4556.7579   0.015317 ""      ""         ""     ""      ""     0.6      0.16     110        ""     ""    ""     ""     ""     ""     "" ""     ""     ""     ""     0.24401 
  HYDRA-0036   iDR3.HYDRA-0036.007976   159.78301733827126 -27.226231956062644 1.9013144          43      3.5155501000000005 12.0            0            19.66346           19.313935999999998 18.860120000000002 18.371095999999998 18.265888          18.242851          17.84648           17.684855          17.425138          17.458399          17.202182999999998 17.343481          0.081405036           0.10162294           0.109491386          0.06895247            0.061609894000000005  0.018809132           0.034828767000000004  0.011069465           0.013030286           0.011386549           0.023507949           0.017735663999999998  0.22645599999999888  0.2597169999999984  0.015880382662758034  0.017097409412774236  "CRTS J103907.8-271334"       159.782875     -27.2262222222 ""          ""          172.0         1     "10 39 07.89   " "-27 13 34.4   " PulsV*delSct    dS*                                                 ""          ""       ""      ""         ""     ""      ""     ""       ""       ""         ""     17.63 ""     ""     ""     ""     "" ""     ""     ""     ""     0.456991
