# Field           ID                          RA                   DEC                     FWHM                 ISOarea   KRON_RADIUS          nDet_magPStotal   PhotoFlagDet   U_PStotal            F378_PStotal         F395_PStotal         F410_PStotal         F430_PStotal         G_PStotal            F515_PStotal         R_PStotal            F660_PStotal         I_PStotal            F861_PStotal         Z_PStotal            e_U_PStotal            e_F378_PStotal         e_F395_PStotal         e_F410_PStotal         e_F430_PStotal         e_G_PStotal             e_F515_PStotal         e_R_PStotal             e_F660_PStotal          e_I_PStotal             e_F861_PStotal          e_Z_PStotal             r_-_i                    r_-_J0660             e(r_-_i)                e(r_-_J0660)            P(GoodPho)           P(BadPho)             main_id                                         ra_x             dec_x            coo_err_maj   coo_err_min   coo_err_angle   nbref   ra_sexa          dec_sexa         main_type           other_types                                                                                             radvel        redshift   sp_type              morph_type     plx      pmra     pmdec    size_maj   size_min   size_angle   B        V        R_x      J        H        K        u        g        r_xa     i        z        angDist   
  SPLUS-s23s39    iDR3.SPLUS-s23s39.004540    343.4706720102698    -30.16215109662625      3.148785             27        4.033129             12.0              0              19.56821             19.276384            19.681028            19.759066            19.413483            19.727814            19.837048            19.371302            18.841217            19.189543            17.922314            18.483795            0.059801653            0.07102867             0.15896711             0.15844956             0.11954335             0.054631043             0.12866314             0.032483563             0.023147462             0.033184648             0.023960816             0.030315908             0.18175899999999956      0.5300849999999997    0.046437083543853966    0.03988717666389053     ""                   ""                    "2QZ J225352.9-300944"                          343.4706991482   -30.1621693412   0.0           0.0           90.0            5       "22 53 52.96780" "-30 09 43.8096" Seyfert_1           "*  |Sy1|AGN"                                                                                           82415.7647    0.326      ""                   ""             ""       -0.04    0.6      ""         ""         ""           19.21    ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.107     
  SPLUS-s26s10    iDR3.SPLUS-s26s10.016174    15.36530506399244    -33.791874212644856     3.9454117            23        4.5306253            11.0              0              21.979773            23.294937            20.717266            20.868923            20.42241             20.112808            19.746159            19.399727            18.537909            19.395329            17.65873             99.0                 0.3128558              1.9945948              0.37096652             0.36967686             0.23044339             0.07711149              0.10662874             0.042718775999999986    0.024626074             0.054282814000000006    0.024469607             21.176884               0.004397999999998348     0.8618179999999995    0.0690761733066965      0.04930859299951329     ""                   ""                    "[MFW2011] 24026"                               15.3653980531    -33.791841293    0.0           0.0           90.0            1       "01 01 27.69553" "-33 47 30.6287" Star                *                                                                                                       ""            ""         ""                   ""             0.4666   16.99    -6.86    ""         ""         ""           ""       ""       ""       16.34    15.71    15.54    ""       ""       ""       ""       ""       0.302398  
  SPLUS-n02n01    iDR3.SPLUS-n02n01.039722    150.33009724924688   1.8352186750925965      2.3025942            22        4.1800913999999985   9.0               0              99.0                 22.990223            99.0                 99.0                 21.376925            21.084538            21.16008             19.967361            18.799204            18.615711            18.093786            18.012957            22.28772               1.3989566999999998     21.186474              21.360277              0.45360383             0.11582767              0.28809848             0.04703752              0.02188118              0.022581246             0.030725759             0.024447965             1.3516499999999994       1.1681570000000008    0.05217701561667662     0.05187787896534321     ""                   ""                    "COSMOS 871373"                                 150.3300920711   1.8351707302     0.001         0.002         90.0            0       "10 01 19.22210" "+01 50 06.6146" Star                "*  |*  |G"                                                                                             131369.7288   0.6        ""                   ""             ""       ""       ""       ""         ""         ""           22.236   20.959   ""       ""       ""       17.848   ""       ""       ""       ""       ""       0.173604  
  STRIPE82-0053   iDR3.STRIPE82-0053.044359   36.99250641431996    0.04044211181414373     4.0170665            16        1.82                 8.0               0              99.0                 99.0                 19.62529             99.0                 99.0                 20.513733            19.995068            20.689716            18.778067            20.795631            19.138222            21.227177            22.278345              21.6898                0.11962595             21.371515              21.46651               0.062103443             0.11627713             0.08254334              0.02187617              0.12759328              0.06888977              0.35759312              -0.10591499999999954     1.9116490000000006    0.1519652857711721      0.08539303128607452     ""                   ""                    "[VV2006] J022758.2+000226"                     36.9924832655    0.0403842661     0.0           0.0           90.0            24      "02 27 58.19598" "+00 02 25.3834" QSO                 "QSO|QSO|QSO|*  |QSO|QSO"                                                                               185983.726    1.066      ""                   ""             0.3574   0.21     -0.57    ""         ""         ""           20.09    19.76    ""       19.509   19.246   18.944   19.74    19.754   19.493   19.56    19.558   0.2243    
  STRIPE82-0108   iDR3.STRIPE82-0108.054897   314.67822565062784   1.0387525771498245      2.7021322            23        7.0993075            8.0               2              99.0                 99.0                 99.0                 99.0                 22.0897              21.564497            21.86626             20.716806            18.16551             19.250011            18.692783            18.534573            22.089266              21.623981              21.08472               21.373766              0.8245718000000001     0.16852856              0.5887548              0.10235975              0.0155242495            0.041558538             0.052505046             0.044133916             1.4667949999999976       2.551295999999997     0.11047456947533195     0.10353028901051493     ""                   ""                    "SDSSCGB 55556.2"                               314.6782752547   1.0386474413     0.001         0.0           90.0            1       "20 58 42.78606" "+01 02 19.1308" Galaxy              "G  |GiG|*"                                                                                             ""            ""         ""                   ""             1.1154   -1.61    5.26     ""         ""         ""           ""       ""       ""       ""       ""       ""       22.375   21.095   20.062   18.667   17.925   0.418488  
  SPLUS-n19s03    iDR3.SPLUS-n19s03.053974    168.67501934507877   -23.727739165310048     9.801962             10632     3.3909086999999998   12.0              2              16.606453            16.107917999999998   15.789573            15.649704999999999   15.493835            15.297198999999999   15.115951            14.639926999999998   14.045025            14.374557500000002   14.204863000000001   14.08218             0.008762785            0.0098172985           0.0115958555           0.009741851999999999   0.008763615            0.0034049696            0.005946297            0.0021240094            0.0018727385999999999   0.0019112119            0.0029591133000000003   0.0020334076000000003   0.2653694999999967       0.5949019999999976    0.0028572971245549475   0.0028317072227224196   ""                   ""                    "NGC  3597"                                     168.6749079056   -23.7276630757   0.011         0.007         90.0            120     "11 14 41.97790" "-23 43 39.5871" EmG                 "EmG|G  |Rad|*  |IR |G"                                                                                 3494.4609     0.011725   ""                   S0             ""       ""       ""       0.667      0.533      65           13.62    ""       12.46    10.867   10.128   9.79     ""       ""       ""       ""       ""       0.458171  
  STRIPE82-0026   iDR3.STRIPE82-0026.037373   16.580131544341818   0.8064950808416276      2.1304915            30        3.9356856            9.0               0              24.02212             99.0                 99.0                 22.931957            99.0                 21.079914            20.534725            18.999012            17.832012            18.61412             18.303892            18.445866            2.1025238              22.072166              21.54271               1.3149725              21.737324              0.08254202              0.12977198             0.017824288             0.010430041             0.016812083999999998    0.027976448             0.02472206              0.3848920000000007       1.1670000000000016    0.024502069527490934    0.020651658479856408    ""                   ""                    "QSO B0103+00"                                  16.5801701987    0.8064952493     0.0           0.0           90.0            81      "01 06 19.24085" "+00 48 23.3829" QSO                 "QSO|X  |X  |QSO|QSO|QSO|*  |QSO|QSO|QSO"                                                               280158.4171   4.43489    ""                   ""             ""       -1.7     -0.89    ""         ""         ""           21.68    20.23    ""       18.342   18.009   17.791   24.09    21.12    19.006   18.603   18.328   0.139143  
  STRIPE82-0120   iDR3.STRIPE82-0120.007072   323.7295259763584    0.18243498988079668     2.7607462000000003   30        5.127532             11.0              3              99.0                 23.236696            20.274420000000006   19.670969            19.582047            19.270477            18.836826            18.99611             18.588844            18.962292            18.770576            18.947514            21.823795              2.7324638              0.30220437             0.14124551             0.12180218             0.036759794             0.05601911             0.029393787             0.022095682             0.037020996             0.05730827              0.065953255             0.033818000000000126     0.4072659999999999    0.047271014998975694    0.03677246085383045     ""                   ""                    "SDSS J213455.08+001056.9"                      323.7295084717   0.1824589116     0.0           0.0           90.0            20      "21 34 55.08203" "+00 10 56.8521" QSO                 "QSO|QSO|QSO|*  |QSO|QSO"                                                                               268876.1472   3.2888     ""                   ""             0.2117   -1.46    0.23     ""         ""         ""           19.3     18.92    ""       ""       ""       ""       23.312   19.133   18.763   18.698   18.641   0.106712  
  STRIPE82-0131   iDR3.STRIPE82-0131.016374   332.21654479357414   -1.1010212789856892     2.338087             88        3.9647267            12.0              0              18.641483            18.186020000000006   18.45527             18.5016              18.346493            18.436134            18.334227            18.222519            17.839292999999994   18.163906            17.79504             17.61721             0.021375151            0.023533283            0.039969932            0.03737044             0.032649755            0.0139156               0.027456721            0.011781944             0.011087828             0.013018418             0.019091394             0.013560943999999998    0.058612999999997584     0.38322600000000406   0.017558286124843163    0.016178817452975974    ""                   ""                    "[VV2006] J220852.0-010603"                     332.2165176738   -1.1010472257    0.0           0.0           90.0            19      "22 08 51.96424" "-01 06 03.7700" QSO                 "IR |QSO|X  |QSO|QSO|*  |QSO"                                                                           87664.5379    0.35149    ""                   ""             0.029    0.05     0.08     ""         ""         ""           18.56    18.28    ""       16.592   15.746   14.663   18.327   18.236   18.065   18.009   17.38    0.135105  
  STRIPE82-0148   iDR3.STRIPE82-0148.001139   342.48366631847017   0.038431612886878214    2.0169728            33        3.4952333            11.0              0              99.0                 21.32353             20.718998000000006   20.548227            19.749462            18.883163            18.447287            18.4531              17.740257            18.223848            18.16032             18.091352            22.301226              0.31094629999999995    0.29122287             0.2547795              0.099150985            0.017531604             0.03183734             0.01357621              0.010542175             0.014286165             0.030525103             0.021242395             0.2292519999999989       0.7128429999999994    0.019708069118290737    0.017188686153825863    ""                   ""                    "2MASS J22495608+0002182"                       342.4837061625   0.0383773927     0.0           0.0           90.0            24      "22 49 56.08948" "+00 02 18.1586" QSO                 "IR |QSO|QSO|QSO|QSO|*  |QSO"                                                                           269128.2725   3.30735    ""                   ""             ""       -0.67    0.28     ""         ""         ""           19.17    18.75    ""       16.774   15.523   14.816   22.739   19.017   18.561   18.388   18.143   0.242229  
  STRIPE82-0109   iDR3.STRIPE82-0109.053165   315.4831213429382    -0.5235874873138652     4.4132370000000005   58        4.6807120000000015   11.0              0              23.672825            22.335392            99.0                 22.81174             22.07117             21.295862            20.852636            19.98925             19.446064            19.589607            19.149685            19.133713            1.2000034              0.6554465              21.358257              1.3354886              0.7114014              0.07409346              0.18546532             0.02923664              0.028014757             0.029411295             0.055627845             0.035310373             0.39964299999999753      0.5431859999999986    0.041470536433311604    0.0404920699428746      ""                   ""                    "SDSSCGB 52599.6"                               315.483075       -0.5236222222    ""            ""            172.0           1       "21 01 55.938  " "-00 31 25.04  " Galaxy              "G  |GiG"                                                                                               ""            ""         ""                   ""             ""       ""       ""       ""         ""         ""           ""       ""       ""       ""       ""       ""       24.014   21.163   19.66    19.233   18.84    0.208489  
  STRIPE82-0123   iDR3.STRIPE82-0123.003663   325.4793287805411    -1.292825833976646      3.8881495            25        5.6437674000000015   10.0              0              99.0                 99.0                 20.90391             21.086803            21.27356             20.164288            19.663567            19.883785            19.27799             19.850042            19.82877             19.740158            21.817009              21.543741              0.43631238             0.4522782              0.44163266             0.06389837              0.091526315            0.051288713             0.031930894             0.06628258              0.118783                0.10145496              0.03374300000000119      0.6057950000000005    0.08380878529517516     0.060416173934101494    ""                   ""                    "SDSS J214155.04-011734.3"                      325.4793058165   -1.2928641697    0.001         0.001         90.0            3       "21 41 55.03340" "-01 17 34.3110" QSO                 "QSO|QSO|*  |QSO"                                                                                       268837.8255   3.286      ""                   ""             0.5773   1.38     1.76     ""         ""         ""           ""       ""       ""       ""       ""       ""       25.083   20.482   20.102   20.005   19.825   0.160864  
  STRIPE82-0135   iDR3.STRIPE82-0135.012577   334.6947482712885    -1.188558994516001      4.7943354000000005   40        5.2351003            12.0              3              20.642159            20.518456            20.42545             20.514328            20.138042            20.270317            19.975956            19.671215            19.209389            19.595886            19.076958            19.410564            0.09592458             0.13693084             0.18511763             0.19681355             0.1414386              0.06735096              0.107454576            0.037590522             0.029681839             0.040268607000000005    0.05249113              0.05792021400000001     0.07532899999999998      0.4618259999999985    0.055087276697554526    0.047896335044076234    ""                   ""                    "2SLAQ J221846.76-011119.0"                     334.6948541667   -1.1886472222    0.051         0.049         89.0            1       "22 18 46.765  " "-01 11 19.13  " Galaxy              "G  |G"                                                                                                 ""            ""         ""                   ""             ""       ""       ""       ""         ""         ""           ""       ""       ""       ""       ""       ""       20.29    19.805   19.432   19.325   18.87    0.496136  
  STRIPE82-0136   iDR3.STRIPE82-0136.019986   334.57190645739905   0.6065838369084469      3.9995               35        4.633121             10.0              0              99.0                 23.089006            20.752857            99.0                 22.034794            20.731842            20.63765             19.217148            18.081715            18.954893            18.220486            18.453304            21.274635              2.960759               0.4857562              20.541582              1.7851203999999998     0.17605379999999998     0.40739888             0.038598914             0.025608374             0.033503707             0.051295515             0.033456806             0.26225500000000324      1.1354330000000026    0.05111139349226594     0.0463213231773799      ""                   ""                    "SDSS J221817.26+003623.6"                      334.5719371856   0.6065871149     0.011         0.016         90.0            1       "22 18 17.26492" "+00 36 23.7136" AGN                 "*  |IR |G  |AGN"                                                                                       83457.7224    0.331      ""                   ""             ""       ""       ""       ""         ""         ""           ""       ""       ""       ""       ""       ""       21.789   20.203   18.732   18.566   17.887   0.111243  
  SPLUS-s19s33    iDR3.SPLUS-s19s33.052038    331.64917453365143   -23.749141846086346     50.65557             83        8.654698             11.0              3              21.768320000000006   22.32092             99.0                 23.401327            22.084652            21.246323            20.707832            19.938488            19.294294            19.425114            19.043839            19.00562             0.28627014             0.9025314              20.977978              3.7892985              1.1257017              0.16789514              0.24105832             0.054473076             0.035955526             0.048056252             0.06690206              0.06072666              0.5133739999999989       0.6441939999999988    0.07264103086540885     0.06526956303544901     ""                   ""                    "PMN J2206-2344"                                331.6491666667   -23.7488611111   0.6           0.6           90.0            3       "22 06 35.80   " "-23 44 55.9   " Radio               Rad                                                                                                     ""            ""         ""                   ""             ""       ""       ""       ""         ""         ""           ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       1.010978  
  SPLUS-s23s33    iDR3.SPLUS-s23s33.051468    334.1253072836468    -29.01480498338059      4.5215006            16        5.575469             12.0              0              21.440779            22.32756             21.206387            21.100737            21.219286            20.580141            20.143818            19.651936            17.625656            20.682436            18.755775            19.510845            0.36915305             1.3009527              0.72907174             0.6283499              0.6985514              0.1526625               0.20590258             0.053098608             0.012932267             0.14580694              0.053766638             0.08921374              -1.0305                  2.02628               0.15517450152554466     0.054650761214249825    ""                   ""                    "2QZ J221630.0-290054"                          334.1253655348   -29.0148352312   0.002         0.002         90.0            1       "22 16 30.08773" "-29 00 53.4068" EmG                 "H2G|*  |EmG"                                                                                           83312.2148    0.3303     ""                   ""             ""       ""       ""       ""         ""         ""           20.713   ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.213278  
  SPLUS-n02s22    iDR3.SPLUS-n02s22.020131    180.02554191244164   -1.5448871919949994     5.922895             21        3.4855803999999995   11.0              0              21.68146             22.842207            99.0                 21.639091            21.426561            20.691853            20.409864            19.892570000000006   19.316494            19.423777            19.068514            20.916012            0.29677624             1.2825357              21.193178              0.6162376              0.47056517             0.08884956              0.15532875             0.048943065             0.040920105             0.046199337             0.07093087599999999     0.33279938              0.4687930000000051       0.5760760000000076    0.06730380636215008     0.06379560019942794     ""                   ""                    "SDSS J120006.16-013241.2"                      180.025694       -1.544782        1.0           0.061         90.0            1       "12 00 06.167  " "-01 32 41.22  " BClG                BiC                                                                                                     92585.4132    0.3761     ""                   ""             ""       ""       ""       ""         ""         ""           ""       ""       ""       ""       ""       ""       22.6     20.62    19.27    18.81    18.68    0.665554  
  SPLUS-n02n21    iDR3.SPLUS-n02n21.024351    178.07031354806253   1.3909661333218957      5.18349              59        4.0787125            10.0              0              99.0                 21.858023            20.981258            99.0                 22.366402            20.61614             20.03957             19.33815             18.449232            18.814695            18.578016            18.579931            21.879002              0.718541               0.55165935             20.910347              1.6329308              0.12538105              0.16135535             0.043087576             0.023289297             0.03268939              0.06574742              0.048972655             0.5234549999999984       0.8889180000000003    0.05408452111397378     0.04897887871634043     ""                   ""                    "SDSS J115216.86+012327.2"                      178.0702875      1.3908944444     0.05          0.046         90.0            2       "11 52 16.869  " "+01 23 27.22  " Galaxy              "G  |G"                                                                                                 77663.8045    0.30356    ""                   ""             ""       ""       ""       ""         ""         ""           ""       ""       ""       ""       ""       ""       23.3     20.21    18.738   18.279   18.029   0.274579  
  SPLUS-s33s06    iDR3.SPLUS-s33s06.031796    8.821276175970617    -42.088597877208215     6.419882             45        4.5107800000000005   11.0              0              99.0                 22.000656            22.796135            21.666607            22.715458            20.866478            21.00344             19.793299            18.970072            19.307299            18.75241             18.87579             21.87511               0.7707525              2.3928714              0.7628628000000001     1.8965695              0.15714626              0.32606                0.055874836             0.03401008              0.04633157              0.058870416             0.05878902              0.48600000000000065      0.8232270000000028    0.07258520287697622     0.06541164146872708     ""                   ""                    "SWIRE J003517.14-420518.6"                     8.8214166667     -42.0885         ""            ""            172.0           1       "00 35 17.14   " "-42 05 18.6   " AGN                 "IR |AGN"                                                                                               81157.3515    0.32       ""                   ""             ""       ""       ""       ""         ""         ""           ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.514813  
  STRIPE82-0017   iDR3.STRIPE82-0017.024243   11.065875879315968   -0.717518646194803      2.401064             15        4.351585             10.0              0              99.0                 99.0                 22.072018            21.193584            20.89479             20.493637            19.47735             20.256802            19.643856            20.158371            20.069796            20.480373            22.20075               21.7893                0.9426958              0.35244486             0.25533915             0.06572469              0.06544736             0.054861605             0.038154513             0.068862                0.14887536              0.20636998              0.09843100000000149      0.6129460000000009    0.08804414090202724     0.066824864874111       ""                   ""                    "SDSS J004415.83-004303.1"                      11.0659546178    -0.7175311142    0.001         0.001         90.0            16      "00 44 15.82911" "-00 43 03.1120" QSO                 "QSO|QSO|QSO|*  |QSO"                                                                                   268310.7542   3.248      ""                   ""             1.6195   -2.22    -0.85    ""         ""         ""           20.45    20.18    ""       ""       19.887   19.574   24.412   20.484   20.196   20.183   20.067   0.286968  
  SPLUS-n02s22    iDR3.SPLUS-n02s22.016624    179.47609913312542   -1.6377672684560611     2.6542792            12        5.703231             9.0               0              99.0                 21.963749            99.0                 25.007175            99.0                 22.030653            21.631325            20.39166             19.322166            19.878325            19.748133            19.62138             22.204538              0.5915563              21.193178              13.265524              21.416517              0.28167048              0.4476043              0.07577543              0.04184688              0.06892481              0.13001752              0.10443279              0.5133350000000014       1.0694940000000024    0.10243312562458007     0.08656256210059463     ""                   ""                    "[VV2006] J115754.2-013815"                     179.476067786    -1.6377720766    0.002         0.001         90.0            19      "11 57 54.25627" "-01 38 15.9795" QSO                 "QSO|QSO|QSO|*  |QSO|QSO"                                                                               279769.1843   4.38       ""                   ""             ""       -2.15    -0.01    ""         ""         ""           22.68    21.3     ""       19.926   19.704   19.99    23.178   22.111   20.198   19.557   19.4     0.114124  
