# Field           ID                          RA                   DEC                      FWHM         FWHM_n       A           B            ISOarea   KRON_RADIUS   PhotoFlagDet   s2n_Det_iso   U_PStotal   F378_PStotal   F395_PStotal   F410_PStotal   F430_PStotal   G_PStotal   F515_PStotal   R_PStotal   F660_PStotal   I_PStotal   F861_PStotal   Z_PStotal   e_U_PStotal   e_F378_PStotal   e_F395_PStotal   e_F410_PStotal   e_F430_PStotal   e_G_PStotal   e_F515_PStotal   e_R_PStotal   e_F660_PStotal   e_I_PStotal    e_F861_PStotal   e_Z_PStotal    F378_iso    F395_iso    F410_iso    F430_iso    G_iso       F515_iso    R_iso       F660_iso    I_iso       F861_iso    Z_iso        e_U_iso       e_F378_iso    e_F395_iso    e_F410_iso    e_F430_iso    e_G_iso        e_F515_iso    e_R_iso        e_F660_iso    e_I_iso       e_F861_iso     e_Z_iso       r_-_i                    r_-_J0660             e(r_-_i)               e(r_-_J0660)           main_id                                         ra_x             dec_x            coo_err_maj   coo_err_min   coo_err_angle   nbref   ra_sexa          dec_sexa         main_type           other_types                                                                                             radvel        redshift   sp_type              morph_type     plx      pmra     pmdec    size_maj   size_min   size_angle   B_x      V        R_x      J        H        K        u        g        r_xa     i        z        angDist   
  SPLUS-s24s02    iDR3.SPLUS-s24s02.030800    1.286523747867553    -30.851162659705377      3.4002216    1.3994998    2.0295587   1.6481783    37        4.6542        0              41.907536     22.750626   21.804417      22.177399      99.0           22.300152      21.0689     20.552244      19.788944   19.262625      19.219921   19.020018      18.927923   0.7231148     0.5385471        1.2794727        21.25251         1.3334305        0.116832525   0.1793093        0.037608165   0.02819545       0.029806867    0.05278437       0.040797018    21.25764    22.24288    24.798014   22.701946   21.290108   20.42247    19.72763    19.042074   19.119423   19.018358   18.86045     0.50491554    0.35994402    1.5605695     13.991017     2.0130024     0.17352279     0.20035231    0.04347027     0.028264977   0.03475394    0.07154882     0.050980527   0.5690230000000014       0.5263190000000009    0.04798774213299594    0.04700380277562364    "CTLGD 2037"                                    1.2865858333     -30.8512558333   0.075         0.075         90.0            1       "00 05 08.7806 " "-30 51 04.521 " Star                *                                                                                                       ""            ""         ""                   ""             ""       15.2     -10.2    ""         ""         ""           ""       19.89    ""       ""       ""       ""       ""       ""       ""       ""       ""       0.386431  
  SPLUS-s24s03    iDR3.SPLUS-s24s03.021954    3.1199364195988752   -31.04443153319788       2.913083     0.9217781    1.4430772   1.2358996    17        4.2989655     0              34.182003     20.447678   20.119179      20.751774      20.17981       20.184221      20.242548   20.077507      19.704115   19.311747      19.764305   19.777493      19.777323   0.076063745   0.117130026      0.3747296        0.18065853       0.16416743       0.055574603   0.11855005       0.032580126   0.029551944      0.046799097    0.13752155       0.09124336     20.70854    21.430752   20.66912    20.419878   20.50528    20.377363   19.909573   19.597198   19.955217   20.073814   19.944624    0.09103512    0.1581002     0.6357951     0.25310865    0.18398851    0.06381696     0.14678524    0.03852151     0.03546723    0.057157476   0.18538941     0.10691671    -0.060189999999998633    0.39236800000000116   0.05702297861556589    0.04398615696278787    "[VV2006] J001228.8-310241"                     3.1199874075     -31.0444757568   0.0           0.0           90.0            3       "00 12 28.79698" "-31 02 40.1127" QSO                 "QSO|*  |QSO"                                                                                           208525.8792   1.36       ""                   ""             ""       -0.49    0.01     ""         ""         ""           ""       20.81    ""       ""       ""       ""       ""       ""       ""       ""       ""       0.223782  
  SPLUS-s24s10    iDR3.SPLUS-s24s10.009259    14.04137683954713    -31.36906110248861       2.0637438    0.9922567    1.4005053   1.2796814    20        4.0315166     0              43.4412       19.98499    19.834084      19.916216      19.484325      19.019777      19.51252    19.695488      19.579655   19.232723      19.53635    19.308105      19.263067   0.057557393   0.08020889       0.13965039       0.08841232       0.059892446      0.029889138   0.074476026      0.031234443   0.02651959       0.04324322     0.08253121       0.06381091     20.194788   20.32176    19.858658   19.362774   19.790422   19.956326   19.83511    19.448984   19.747036   19.452997   19.389961    0.06291913    0.09113732    0.17903282    0.103533804   0.06715902    0.03210943     0.08530847    0.03615388     0.030418836   0.05268886    0.09861516     0.07506644    0.04330500000000015      0.3469319999999989    0.05334385161842599    0.040974126998489534   "[VV2006] J005609.9-312209"                     14.0414306084    -31.3690905975   0.0           0.0           90.0            4       "00 56 09.94335" "-31 22 08.7262" QSO                 "QSO|*  |QSO"                                                                                           253569.5621   2.46       ""                   ""             ""       -0.58    -0.49    ""         ""         ""           ""       19.66    ""       ""       ""       ""       ""       ""       ""       ""       ""       0.196444  
  SPLUS-s24s10    iDR3.SPLUS-s24s10.013024    13.883649917774902   -31.260498014964096      3.7921607    1.8232868    2.3717856   1.4229013    21        5.658017      0              36.56045      19.80624    19.711288      19.73568       19.93523       19.877098      19.834602   19.855864      19.530151   19.19443       19.515678   19.912281      19.64615    0.05121089    0.07419361       0.122708574      0.12623183       0.11560363       0.037531666   0.08420518       0.030226696   0.025920533      0.042517588    0.14038467       0.089559935    19.849268   19.847816   20.00859    19.913874   19.970785   19.9801     19.584793   19.262133   19.489874   19.898273   19.693836    0.060323298   0.0843905     0.14960788    0.14370972    0.12804958    0.043823417    0.10601786    0.03578586     0.031391475   0.052433968   0.18551052     0.12476216    0.014472999999998848     0.3357209999999995    0.05216702445428683    0.0398186788088267     "[VV2006] J005532.1-311538"                     13.883594746     -31.2604622973   0.0           0.0           90.0            5       "00 55 32.06274" "-31 15 37.6643" QSO                 "QSO|*  |QSO"                                                                                           207866.8289   1.35       ""                   ""             0.9528   0.35     -0.36    ""         ""         ""           ""       19.71    ""       ""       ""       ""       ""       ""       ""       ""       ""       0.212978  
  SPLUS-s24s10    iDR3.SPLUS-s24s10.042935    13.683104869130515   -30.51502373758133       2.2183433    1.0665888    1.3372992   1.2143651    19        4.6831746     0              31.3477       20.526192   20.797115      20.161465      19.714252      19.540342      20.033539   20.289286      19.974266   19.60848       19.98296    19.605392      19.711845   0.08973824    0.17907326       0.17570889       0.10745536       0.08995627       0.044165086   0.12140797       0.042606574   0.035075933      0.06436222     0.108280085      0.09618112     21.184008   20.449213   20.119001   19.885115   20.348236   20.462803   20.261711   19.819866   20.170036   19.721138   19.919367    0.09380574    0.19623443    0.18688744    0.119261056   0.09523682    0.046394292    0.12056474    0.047215413    0.037775878   0.07017412    0.1140807      0.109905235   -0.008693999999998425    0.36578599999999994   0.077186886913166      0.05518732847165157    "QSO B0052-307"                                 13.6831343882    -30.5150491105   0.0           0.0           90.0            6       "00 54 43.95225" "-30 30 54.1768" QSO                 "QSO|*  |QSO"                                                                                           253322.013    2.45       ""                   ""             ""       1.28     0.26     ""         ""         ""           20.36    20.91    ""       ""       ""       ""       ""       ""       ""       ""       ""       0.129325  
  SPLUS-s24s12    iDR3.SPLUS-s24s12.038956    17.558224802220092   -30.4123526694582        3.4979997    1.0574713    1.7952713   1.7041316    35        4.3708143     0              41.457928     20.650238   20.510391      20.40158       20.73803       20.046465      20.027294   20.05325       19.661203   19.192125      19.576279   19.142614      19.244675   0.08736157    0.13459378       0.23373513       0.26450157       0.14421451       0.04592747    0.109758094      0.032290928   0.026442805      0.039932232    0.06087238       0.055572655    20.717402   21.140568   21.124573   20.325113   20.158255   20.12617    19.723434   19.355768   19.660295   19.250519   19.325142    0.11046128    0.16416766    0.4441274     0.37321085    0.17914356    0.049800582    0.11849218    0.03650947     0.03161388    0.049640488   0.07562283     0.068415806   0.08492400000000089      0.46907799999999966   0.05135452447061513    0.041736386611315665   "2QZ J011014.0-302445"                          17.5583333333    -30.4123888889   1.0           1.0           90.0            1       "01 10 14.00   " "-30 24 44.6   " EmG                 EmG|H2G                                                                                                 79720.4508    0.3132     ""                   ""             ""       ""       ""       ""         ""         ""           20.257   ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.3613    
  SPLUS-s24s13    iDR3.SPLUS-s24s13.014163    18.521860772867413   -31.150780875277498      3.9772913    1.0755941    1.680719    1.5262371    26        5.2954974     0              26.040905     20.448175   20.678041      20.470201      20.518627      20.187172      20.32032    20.556046      19.93689    19.625214      20.086021   19.99758       20.364708   0.081974186   0.15516809       0.22586991       0.20000032       0.15763684       0.05915671    0.1584076        0.042771157   0.038873415      0.07318164     0.1570591        0.18061687     21.048439   20.750153   20.711645   20.533499   20.546577   20.838535   20.121252   19.878345   20.166847   20.052755   20.611307    0.081762105   0.18342574    0.25702265    0.21508677    0.18159905    0.060193773    0.18608828    0.046706285    0.044014346   0.075852334   0.15889579     0.22065192    -0.14913100000000057     0.3116759999999985    0.08476393280286286    0.05779718215346553    "[VV2006] J011405.3-310903"                     18.5219066017    -31.1507748956   0.0           0.0           90.0            5       "01 14 05.25758" "-31 09 02.7896" QSO                 "QSO|*  |QSO"                                                                                           206730.9578   1.333      ""                   ""             ""       -0.44    -0.03    ""         ""         ""           20.16    ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.142826  
  SPLUS-s24s15    iDR3.SPLUS-s24s15.028978    21.3593347521788     -30.742435844021443      3.555199     1.2900714    1.8003674   1.4269645    26        4.481327      0              34.88509      20.298223   20.434135      19.99709       19.887428      20.076208      20.170212   19.92353       19.569538   18.461197      20.035675   19.00496       19.467344   0.09915147    0.17082572       0.18419784       0.15880111       0.19233376       0.07557617    0.12509376       0.03629139    0.017652337      0.061790355    0.053100504      0.063783534    20.765562   20.019085   20.23466    19.970789   20.269491   20.006392   19.651325   18.621752   20.067532   19.195995   19.549955    0.11335343    0.21745488    0.18660587    0.21621951    0.16940948    0.08157252     0.13550879    0.039989118    0.019733686   0.068765886   0.06850278     0.07195029    -0.4661369999999998      1.108341000000003     0.07165970247746027    0.040356783688664646   "2QZ J012526.2-304433"                          21.3593821459    -30.7425412642   0.002         0.003         90.0            1       "01 25 26.25172" "-30 44 33.1486" EmG                 "EmG|*  |H2G"                                                                                           79231.8544    0.3109     ""                   ""             ""       ""       ""       ""         ""         ""           19.982   ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.406858  
  SPLUS-s24s20    iDR3.SPLUS-s24s20.049124    29.63394027051608    -30.284120909894927      2.6307955    1.1992754    1.761758    1.4539442    18        4.859942      0              30.981602     20.279795   19.747978      20.187578      20.523632      20.601643      20.25777    19.967205      19.709946   19.299564      19.73501    19.660542      19.599152   0.14153332    0.11023037       0.23724793       0.30516377       0.32564598       0.08921411    0.14034562       0.04517595    0.035530895      0.047800582    0.08992595       0.06465452     20.239866   20.491867   20.228582   20.91992    20.31481    20.232628   19.788385   19.450754   19.813374   19.78158    19.573498    0.16151509    0.161272      0.3104397     0.25111243    0.46280438    0.103872664    0.19305837    0.052549925    0.04368032    0.058390662   0.11543316     0.07135111    -0.02506400000000042     0.41038199999999847   0.06577052605796326    0.05747443743007429    "[VV2006] J015832.1-301703"                     29.6340235902    -30.2841628249   0.0           0.0           90.0            5       "01 58 32.16566" "-30 17 02.9862" QSO                 "QSO|*  |QSO"                                                                                           209824.1314   1.38       ""                   ""             ""       -1.15    0.4      ""         ""         ""           20.2     ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.299765  
  SPLUS-s24s23    iDR3.SPLUS-s24s23.038255    35.3022376237971     -30.43306611004649       4.2609754    1.5810875    1.7579132   1.52818      27        4.3045197     0              28.82584      20.52211    20.936623      20.619362      20.056099      20.30801       20.167746   20.124458      19.828823   19.322765      19.757647   19.190887      19.373089   0.14686394    0.32215634       0.38107044       0.2285926        0.28759265       0.10590078    0.18734746       0.059386108   0.03814972       0.057427358    0.06932429       0.06682182     21.34756    20.72849    20.094091   21.5761     20.480759   20.317886   19.977444   19.46942    19.83515    19.24361    19.39532     0.18023613    0.40389663    0.36574587    0.20856287    0.7964732     0.1165113      0.20166893    0.06175515     0.043483138   0.063761875   0.07863546     0.07076788    0.07117600000000124      0.5060579999999995    0.08261120547630223    0.07058407015372564    "2QZ J022112.5-302559"                          35.30225         -30.4331111111   1.0           1.0           90.0            1       "02 21 12.54   " "-30 25 59.2   " EmG                 EmG|H2G                                                                                                 80186.5789    0.3154     ""                   ""             ""       ""       ""       ""         ""         ""           20.064   ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.166496  
  SPLUS-s24s67    iDR3.SPLUS-s24s67.006161    344.7838160610223    -31.454652481082007      2.3868873    0.91684043   1.4150711   1.2813379    17        4.682452      0              27.65015      20.23195    20.42776       20.218302      20.683582      20.187271      20.531954   20.338009      19.925714   19.467066      19.974422   19.753712      20.081059   0.07787395    0.1492489        0.22475725       0.2750635        0.17024465       0.07271787    0.14768922       0.045324396   0.03554953       0.06415186     0.110071994      0.123970985    20.830177   20.792135   21.098093   20.533283   20.963806   20.851423   20.254288   19.807592   20.274141   20.033295   20.285557    0.087636635   0.14322972    0.24693319    0.29314896    0.17761406    0.084183104    0.18358263    0.04770122     0.037796717   0.07009424    0.12516682     0.13207343    -0.048708000000001306    0.45864800000000017   0.07854783265134957    0.05760269052731579    "2QZ J225908.1-312717"                          344.7838618468   -31.4546908343   0.0           0.0           90.0            1       "22 59 08.12684" "-31 27 16.8870" Star                "*  |*"                                                                                                 ""            ""         ""                   ""             ""       -0.72    0.31     ""         ""         ""           ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.197064  
  SPLUS-s24s69    iDR3.SPLUS-s24s69.007166    347.8963319528839    -31.445592377850765      2.5557644    1.0171303    1.4531345   1.367943     21        4.5354095     0              35.9502       20.20836    19.997559      20.306759      20.1599        20.129555      20.083668   20.069233      19.781445   19.437         19.739243   19.700344      19.833248   0.06607108    0.08817801       0.19307794       0.15500422       0.15241645       0.048055973   0.106735684      0.036712836   0.033692837      0.047327276    0.10319766       0.09291753     20.367176   20.596836   20.360247   20.554935   20.36524    20.379679   20.012915   19.684378   19.996237   19.875814   19.976934    0.06663237    0.10105459    0.21585606    0.16123323    0.18626323    0.05288489     0.1271708     0.040574085    0.035478313   0.05695244    0.11322326     0.10062574    0.04220200000000318      0.34444500000000033   0.05989744051913297    0.04983010728737663    "[VV2006] J231135.1-312644"                     347.8963258161   -31.4456363161   0.001         0.001         90.0            4       "23 11 35.11820" "-31 26 44.2907" QSO                 "QSO|*  |QSO"                                                                                           207866.8289   1.35       ""                   ""             ""       0.25     -0.54    ""         ""         ""           ""       19.79    ""       ""       ""       ""       ""       ""       ""       ""       ""       0.159297  
  SPLUS-s24s70    iDR3.SPLUS-s24s70.037609    348.8308033561476    -30.64921915522369       2.2554574    1.065554     1.3328217   1.2332708    19        4.2482405     0              34.009445     20.160553   20.074497      20.060188      20.039148      20.102238      20.140562   20.178541      19.937117   19.518213      19.784441   19.677017      19.88464    0.065982446   0.10142803       0.17055674       0.14041452       0.1497606        0.048467282   0.115948364      0.04200252    0.034085248      0.047739305    0.10032665       0.09488304     20.304836   20.383783   20.321352   20.492039   20.427147   20.48194    20.168497   19.758705   20.020224   20.000978   20.086649    0.069204375   0.0936175     0.17557262    0.1451819     0.16347945    0.052749112    0.12788586    0.046807196    0.03687336    0.05611321    0.1211884      0.10709175    0.1526759999999996       0.4189040000000013    0.06358657820824631    0.0540926595535097     "[VV2006] J231519.4-303857"                     348.8308673      -30.6492293684   0.001         0.001         90.0            5       "23 15 19.40815" "-30 38 57.2257" QSO                 "QSO|*  |QSO"                                                                                           208263.061    1.356      ""                   ""             ""       0.08     0.61     ""         ""         ""           20.17    ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.201424  
